,timestamp,username,fullname,tweet,retweets
0,6/17/18 12:00 AM,@MailOnline,Daily Mail Online,Frustrated Apple users are complaining that iOS 11.4 is killing their batteries ,
226,6/6/18 12:00 AM,@ForbesTech,Dr. Kash Sirinanda,"The World's Largest Tech Companies 2018: Apple, Samsung Take Top Spots Again",
244,6/6/18 12:00 AM,@Gadgets360,CNBC,Apple Maps Can Now Be Embedded to Websites,7
261,6/6/18 12:00 AM,@Gadgets360,Western Sydney Uni,"Apple Orders Little Voice, a New Comedy From J.J. Abrams, Sara Bareilles https://gadgets.ndtv.com/entertainment/news/apple-little-voice-tv-series-jj-abrams-sara-bareilles-1863776 …",
262,6/6/18 12:00 AM,@MetroUK,Gadgets 360,Apple to slash the price of iPhone X (and bring out a new bargain model) ,1
278,6/6/18 12:00 AM,@CatrinSeckou,Jon Cope,Apple hopes to inspire a new generation of ideas from developers by making it easier for them to incorporate machine learning into their apps,36
279,6/6/18 12:00 AM,@themarkrad,❂ Yübbîę Umoh ❂,"“At a WWDC developer session, the company [Apple] detailed a new “Play Media” intent it was introducing to developers with Siri Shortcuts that will let users summon audio and video media from third-party apps.“ #WWDC18",
311,6/6/18 12:00 AM,@dlogan1973,Rapid Car Insurance Quotes,#Apple Design Award winner Florence breaks new ground in mobile gaming https://buff.ly/2kVC8hY  #Design #Florence #Mobile #GameDev #MobileApp #MobileGame,
327,6/6/18 12:00 AM,@kentindell,scott hertzog,Apple's new 'digital wellbeing' tools aim to help reduce screen time ,
349,6/6/18 12:00 AM,@PantsuitU,The Daily Caller,"Apple jams Facebook's web-tracking tools https://buff.ly/2LkQiUU 

Looks like things are about to get interesting in #ppc and #DigitalMarketing",
350,6/6/18 12:00 AM,@DailyCaller,"Dan Rice  
🦖","Sonos supports Google, Amazon, and even Apple's lonely digital assistant ",5
351,6/6/18 12:00 AM,@thedangrice,VentureBeat,Apple’s stock price usually falls on the first day of its developers conference. But not this year http://dlvr.it/QWSWMm  in @qz,
352,6/6/18 12:00 AM,@VentureBeat,HealthIT Policy,Apple's Plans to Bring Artificial Intelligence to Your Phone https://www.wired.com/story/apples-plans-to-bring-artificial-intelligence-to-your-phone/?mbid=social_twitter_onsiteshare … via @WIRED,
353,6/6/18 12:00 AM,@HITpol,Alberto Betella,Apple wants you to spend less time with your phone ,
354,6/6/18 12:00 AM,@albertobeta,Camilla Mutton,Apple is getting closer and closer to becoming the first $1 trillion American company https://cnn.it/2HqHn1U ,
355,6/6/18 12:00 AM,@Camilla_Wave,CNN,"When @Apple launches fully into #AR and #VR, we'll likely see some big shifts in public adoption. Like or loathe, Apple has historically entered late, but brought a purpose and execution that drives change. Post-Jobs, can they still? ",
356,6/6/18 12:00 AM,@CNN,kin8,"The cheating at Fenway has evolved from using Apple Watches to iPhones.

Red Sox fans cause delay in game against Tigers by using cell phones lights during play http://nydn.us/2xMSEKz ",3
357,6/6/18 12:00 AM,@kin8PtyLtd,NY Daily News Sports,"Apple will perform a massive U-turn this year slashing Phone prices by $300
http://on.forbes.com/6015DiCrd ",
358,6/6/18 12:00 AM,@NYDNSports,Forbes,"Amazon Echo, Apple HomePod or Google Home: which is smarter about playing music? We tested them ",6
359,6/6/18 12:00 AM,@Forbes,Larry Pareigis,Apple's New AR Features Are Proof That Wearables Are Coming https://www.wired.com/story/apple-wwdc-augmented-reality-wearables/?mbid=social_twitter_onsiteshare … via @WIRED,
360,6/6/18 12:00 AM,@larrypareigis,Ori Inbar #AWE2018,WOAH. These new Apple Podcasts stats are INSANE. Who grows by 25k podcasts since April? Um... check out the data ,
361,6/6/18 12:00 AM,@comogard,libsyn,"We can use some help with screen addiction. But keep in mind, Apple's new tools are to save the iPhone -- not you. 

I break it down in my latest video:
https://www.cnet.com/news/apples-screen-addiction-tools-are-to-save-the-iphone-not-you/ …",
362,6/6/18 12:00 AM,@libsyn,Bridget Carey,Apple is getting closer and closer to becoming the first $1 trillion American company https://cnn.it/2HqHn1U ,
363,6/6/18 12:00 AM,@BridgetCarey,CNN,Five reasons Apple still beats Samsung and Google in the smartphone war http://bit.ly/2JcmGfQ ,
