,time,username,fullname,tweet,retweets
0,Jun 13,@pbhushan1,Prashant Bhushan,"Modi govt to buy 6 Apache 64E Copters for 930M$ (Rs1000Cr each). US army bought 35 of the same helicopters 3 yrs ago for 691M$ (Rs 120 Cr each). https://www.militaryaerospace.com/articles/2015/02/army-attack-helicopters.html ….
Modi pays 8 times market price & sends >5000Cr of our money down the drain! Kickbacks? https://m.economictimes.com/news/defence/us-approves-sale-of-apache-attack-choppers-to-india/amp_articleshow/64567737.cms?utm_source=twitter.com&utm_medium=Social&utm_campaign=ETTWMain&__twitter_impression=true …",
1,56m,@VictorValenzla,VictorValenzuela,"Boeing Gave $20,000 To These Ten Wacky Personal Flyer Designs via Digg https://ift.tt/2t2Rnu4 ",
2,2h,@SITANAM,SITA North America,Take a look at the @FourSeasons private jet. Perfect for ultimate luxury adventure - #AvGeek @Boeing  https://usat.ly/2HIHWEl ,
3,4h,@CNBC,CNBC,The new Boeing 777 airliner will be able to retract part of its wings — a first for a commercial plane. https://cnb.cx/2KRUXxk ,427
4,9h,@technonews_news,Techno news,"Elon Musk Digs Chicago, Byton's Tesla-Fighter, and More Car News This Week: Plus: Volvo gets some lidar, Seattle's high-tech tunnel, and Boeing tries to make the future of flight a lot more fun. https://www.wired.com/story/car-news-roundup-boring-chicago-byton-concept?utm_source=dlvr.it&utm_medium=twitter …",2.7K
5,13h,@roomthinker,Darth Vader,"Troublesome advanced engines for Boeing, Airbus jets have disrupted airlines and shaken travelers https://buff.ly/2t5PfBF ",
6,16h,@RahullGandhii,Rahul Gandhi,"Boeing plans to expand aerospace engineering footprint in Bengaluru 

A city managed by congress

#bjp_भगाओ_देश_बचाओ

https://mybs.in/2VnfT2X ",3.7K
7,Jun 15,@cnni,CNN International,Personal flying machine designs revealed in Boeing GoFly contest https://cnn.it/2LVhMko ,
8,Jun 15,@Reuters,Reuters Top News,Boeing creates one-stop shop for jets and services in Airbus battle https://reut.rs/2MxDa07 ,
9,Jun 15,@Forbes,Forbes,"Troubles with aircraft engines are causing problems for airlines, Boeing and Airbus:
http://on.forbes.com/6013DYW4T ",
10,Jun 15,@business,Bloomberg,Boeing 737 pitted against Chinese spacecraft in tariff fight https://bloom.bg/2JJGKqt ,
11,Jun 15,@Reuters,Reuters Top News,Boeing says assessing possible impact of U.S. tariffs on products https://reut.rs/2MvpkeU ,
12,Jun 15,@seatimesbiz,Seattle Times Biz,"Troubles with advanced engines for Boeing and Airbus jets have interrupted production of planes, impacted routes and shaken travelers’ confidence. Here's an insider's look at the problems and challenges. (Story by @dominicgates) https://st.news/2MqA8uC ",
13,Jun 14,@Sanderson_Tech,Jill Sanderson,Straight out of sci-fi: See the Boeing GoFly Prize winners - CNET: #ai #deeplearning #iot HT: @MikeQuindazzi https://www.cnet.com/pictures/straight-out-of-sci-fi-see-the-boeing-gofly-prize-winners/#ftag=CAD590a51e …,
14,Jun 14,@kuengineering,KU Engineering,"KU is one of 10 winning teams in Phase 1 of Boeing’s ‘GoFly’ Prize. Teams had to design a flying device that takes off vertically, safely and quietly and carries someone at least 20 miles. KU’s entry beat more than more than 150 teams from 33 countries. http://bit.ly/2sXDsW9 ",
15,Jun 14,@business,Bloomberg,"We were promised jetpacks, and Boeing even held a design contest. But the technology is still too loud https://bloom.bg/2sWW3BF ",
16,Jun 13,@Reuters,Reuters Top News,"Exclusive: Etihad Airways in talks to cancel, defer Boeing 777X orders - sources https://reut.rs/2Mq8NZJ ",
17,Jun 13,@AirportWebcams,Airport Webcams,"BREAKING: Etihad Airways may defer or cancel orders for the Boeing 777X - sources tell Reuters. EY is the launch customer for the aircraft, with 8x 777-8X & 17x 777-9X on order. 
https://www.reuters.com/article/us-etihad-airways-boeing-exclusive/exclusive-etihad-airways-in-talks-to-cancel-defer-boeing-777x-orders-sources-idUSKBN1J92FF …",
18,Jun 12,@CBSNews,CBS News,"Evening News: A group of cybersecurity experts from the Department of Homeland Security hacked a Boeing 757 in just two days, warn of commercial airlines' vulnerability to hackers https://cbsn.ws/2HMZdfW ",
19,46m,@blovvy,Blovvy,"""Boeing Gave $20,000 To These Ten Wacky Personal Flyer Designs"" ",
20,3h,@EmpComLLC,Emperor Commodus LLC,The new Boeing 777 airliner will be able to retract part of its wings — a first for a commercial plane. https://cnb.cx/2KRUXxk ,2
21,5h,@TestingInWNC,CNBC,Boeing's $2 Million Challenge to Make the Sky Fun Again—With 'Flying Motorbikes' https://www.wired.com/story/boeing-gofly-competition-personal-flying-machine-winners/?mbid=social_twitter_onsiteshare … via @WIRED,
22,6h,@annerajb,R&R Testing Services,I was referring to the tower thought!,1
23,10h,@SteveHamel16,"Anner J. Bonilla 
🇵🇷
 🛩️
 🔋
 🔧","Boeing plans to expand aerospace engineering footprint in Bengaluru
http://mybs.in/2VnfT2X ",
