,time,username,fullname,tweet,retweets
0,8h,@BBCNews,BBC News (UK),Fernando Alonso wins Le Mans 24 with Toyota ,
1,8h,@BBCSport,BBC Sport,"Fernando Alonso won Le Mans at the first attempt as he and team-mates Sebastian Buemi and Kazuki Nakajima finally ended Toyota's long drought.

 http://bbc.in/2JLoX1Z ",
2,7h,@Formula1circus,Formula 1 Circus,#Alonso wins #lemans24 with #Toyota ,
3,6h,@AFP,AFP news agency,#UPDATE Toyota win their first #LeMans24 title with @alo_oficial becoming just the sixth driver to complete the Monaco-Le Mans double,21
4,6/13/18 12:00 AM,@WSJ,The Wall Street Journal,The startup that chased Uber out of Southeast Asia is getting $1 billion from Toyota,90
5,23m,@JournalNEO,New Eastern Outlook,"Is Uncle Sam Funding the Islamic State? Where Does ISIS Get All Those Tanks, Weapons And Shiny New Toyota Trucks? https://www.globalresearch.ca/where-does-isis-get-all-those-tanks-weapons-and-shiny-new-toyota-trucks/5490040 … #politics #middleeast #unitedstates #usaintheworld #militarization #terrorism #nato #waragenda",
6,5h,@CaliCoders,CaliCoders,"RT tobi ""RT globeandmail: Toyota ends years of heartache by winning Le Mans 24 Hours Race http://dlvr.it/QXblZF  Globe_Sports """,343
7,6h,@ForeignSpain,@Foreign_Spain,Fernando Alonso claims Le Mans victory with Toyota as he closes in on motor racing's Triple Crown.,
8,7h,@euronews,euronews,Toyota and Alonso make Le Mans history http://bit.ly/2ygeJkX ,
9,8h,@leighdiffey,Leigh Diffey,Bravo!!! No surprise though ... this was serendipitous ,
10,8h,@rahulsharebazar,Rahul Mishra,"Retweeted Business Standard (@bsindia):

Suzuki, Toyota deal: Baleno-inspired #Corolla renders show new design
http://mybs.in/2VnfuhX   https://twitter.com/bsindia/status/1008328405916450816/photo/1?utm_source=fb&utm_medium=fb&utm_campaign=rahulsharebazar&utm_content=1008339521237237761 …",
11,8h,@Deltasphere41,Deltasphere,"Fernando Alonso wins Le Mans 24 Hours with Toyota for second leg of motorsport's 'triple crown' 
#F1 #AlonsoLeMans",11
12,19h,@FoxBusiness,FOX Business,Toyota to invest $1 billion in Asian ride-hailing startup Grab  ,137
13,6/14/18 12:00 AM,@RedAnneBolynn,"Anne Bolynn #BOYCOTTNRA 
🚫","Guessing Trumpers don’t know tariffs will hurt co-production of cars & Toyota USA plants?

“But before he can impose the penalties under U.S. law, Trump must first get the Commerce Department to declare vehicles like Toyotas and Audis a security threat.” https://politi.co/2HP21sW ",
14,6/13/18 12:00 AM,@BBCSport,BBC Sport,Toyota have denied they have a plan in place that ensures Fernando Alonso wins Le Mans 24 Hours  https://bbc.in/2sWXik4 ,356
15,6/13/18 12:00 AM,@business,Bloomberg,"Futuristic promises are Toyota’s modus operandi, writes @anjani_trivedi https://bloom.bg/2LJyumC  via @bopinion",
16,6/12/18 12:00 AM,@business,Bloomberg,"Grab should be careful where it goes with Toyota's cash, says @tculpan https://bloom.bg/2JxqW9X  via @bopinion",
17,6/12/18 12:00 AM,@business,Bloomberg,Toyota's about to make one of the largest investments by a carmaker in a ride-hailing provider https://bloom.bg/2sSCMBk ,
18,6/12/18 12:00 AM,@STcom,The Straits Times,Toyota to invest S$1.34b in Singapore-based ride-hailing firm Grab http://str.sg/oYja ,
19,5h,@globeandmail,The Globe and Mail,Toyota ends years of heartache by winning Le Mans 24 Hours Race http://dlvr.it/QXblZF  @Globe_Sports,
20,6h,@AFP_Sport,AFP Sport,Toyota beat Toyota in Le Mans as Alonso takes second step to motor racing's triple crown http://u.afp.com/oApQ ,11
21,6h,@BBCSport,BBC Sport,"Fernando Alonso won Le Mans at the first attempt as he and team-mates Sebastian Buemi and Kazuki Nakajima finally ended Toyota's long drought.

 http://bbc.in/2JLoX1Z ",
22,8h,@F1GP_ManUtd,"F1GP & ManUtd  
🗺",Fernando Alonso wins Le Mans 24 Hours with Toyota for second leg of motorsport's 'triple crown' - ,30
23,8h,@andrewbensonf1,Andrew Benson,BBC Sport - Fernando Alonso wins Le Mans 24 Hours with Toyota. Developing story ,
24,6/16/18 12:00 AM,@andihaupt1,Andreas Haupt,#24hLeMans: #Alonso enjoys his 1st Le Mans experience. Will he lead Toyota to the 1st victory ever? >>> https://www.auto-motor-und-sport.de/24h-rennen-le-mans/ …,
25,6/14/18 12:00 AM,@LiveF1News,Live #F1 News,http://livef1news.blogspot.com  - Le Mans 24 Hours 2018: Fernando Alonso on pole for Toyota ahead of iconic race debut https://ift.tt/2JO5dqr  #F1,
